flat_type,full_address,floor_type,square,price
2К,"Орджоникидзевский (левый берег)Фадеева, 16",2/2,44/32/6 м2,1 950 000 р.
1К,"ЛенинскийМосковская, 69",10/10,41/25/10 м2,2 690 000 р.
2Кбрежневка,"ЛенинскийТарасенко, 6",5/5,45/29/6 м2,1 800 000 р.
2К,"ул Черемушки, 13",2/2,40/22/6 м2,500 000 р.
2К,"ПравобережныйЛенина пр-т, 92",11/14,"60,8/0/9 м2",5 290 000 р.
3К,"ЛенинскийКорсикова, 2",3/3,"54,4/40,1/5,9 м2",3 450 000 р.
2К,"Ленинскийкарла маркса, 5",5/5,"43/28/6,2 м2",2 850 000 р.
3К,"уральская, 7/1",1/5,"61,2/44/8 м2",2 750 000 р.
2Кгребенка,"ЛенинскийНабережная, 16",2/5,60/35/9 м2,4 200 000 р.
2К,Центральная,1/2,45/0/10 м2,3 700 000 р.
2К,"ОрджоникидзевскийЗеленый Лог, 15",7/10,"46,2/28/6 м2",2 700 000 р.
2К,"ул. Курортная, 10",5/5,52/40/12 м2,4 999 000 р.
2Краздельная,"ОрджоникидзевскийЗеленый лог, 27/1",7/10,"47,4/28/7 м2",3 300 000 р.
1Кулучшенная,"ЛенинскийМосковская, 71",3/9,"32,1/17/8 м2",2 500 000 р.
2Кбрежневка,"ПравобережныйСоветская, 147/2",3/5,"43,9/30,1/6 м2",2 790 000 р.
3К,"ОрджоникидзевскийКарла Маркса, 190",7/12,66/42/9 м2,4 000 000 р.
3К,"ЛенинскийКомсомольская, 29",3/4,74/46/10 м2,6 300 000 р.
1К,26 ул. Горнолыжная,1/2,23/13/0 м2,2 150 000 р.
1Кнестандартная,"ЛенинскийНиколая Шишка, 9",2/2,"28,8/26/11,3 м2",1 875 000 р.
4К,"Орджоникидзевский (левый берег)Чайковского, 64",3/3,103/70/13 м2,3 300 000 р.
2К,"ЛенинскийЛенина пр-т, 8",2/5,48/32/8 м2,3 600 000 р.
